zts1e	Nouveau objet
zts4284e	Gants de cuir durs
zts4285e	Gants de cuir légers
zts4286e	Patins à roulettes légers
zts4287e	Patins à roulettes renforcés
zts4288e	Bottes en Cotte de Mailles légères
zts4289e	Bottes en cuir léger
zts4290e	Bottes punks légères
zts4291e	Bottes du vent légères
zts4292e	Bottes en métal légères
zts4293e	Bottes du vent renforcées
zts4294e	Robe du Gardien
zts4295e	Une robe porté par le gardien d'Akamur[n][n]
zts4296e	Armure en cuir du Gardien
zts4297e	Une armure portée par le gardien d'Akamur[n][n]
zts4298e	Armure du Gardien
zts4299e	Une armure portée par le gardien d'Akamur
zts4300e	Carte de tarot (Le Fou)
zts4301e	En l'utilisant, tu auras une humeur de fou, ce qui te permettra de te déplacer plus vite et de recevoir plus d'or des monstres[n]Temps d'application: voir les infos sur l'objet[n]Le temps d'application commence à l'utilisation[n][n]
zts4302e	Carte de tarot (Le Bateleur)
zts4303e	Grâce à la force du magicien, ta consommation de mana baisse et toutes les résistances augmentent, tout comme ton mana max.[n]Temps d'application: voir les infos sur l'objet[n]Le décompte commence dès l'utilisation.[n][n]
zts4304e	Carte de tarot (L'Amoureux)
zts4305e	En l'utilisant, tu ressentiras la puissance de l'amour et tes HP, tes MP ainsi que ton attaque augmenteront.[n]Durée d'utilisation : voir les infos sur l'objet[n]La durée d'utilisation débute dès que tu t'en sers pour la première fois.[n][n]
zts4306e	Carte de tarot (ermite)
zts4307e	En la jouant, tu te sentiras aussi fort qu'un ermite, ce qui fera augmenter ton pouvoir de défense mais diminuer ta vitesse.[n]Toutes tes valeurs de défense augmentent de 200, ta vitesse diminue de 1[n]Niveau requis : 60 [n]Temps d'utilisation : 1 heure[n]Le décompte commence une fois l'objet utilisé.[n][n]
zts4308e	Carte de tarot (La Mort)
zts4309e	En l'utilisant, tu te retrouveras sur l'Île de la Mort.
zts4310e	Carte de tarot (Le Diable)
zts4311e	En l'utilisant, tu deviendras aussi fort que le diable.[n] Ton pouvoir d'attaque augmente de +100, toutes les attaques de l'élément "ombre" augmentent de +100 ainsi que la précision d'attaque.[n] Niveau requis: 60[n] Durée d'utilisation: 1 heure[n] Le temps d'utilisation commence dès l'utilisation.[n][n]
zts4312e	Carte de tarot (La Maison Dieu)
zts4313e	Grâce à la force magique de la tour, tu récoltes plus d'or et plus de points d'expérience en combattant les monstres.[n] Temps d'utilisation: voir les infos sur l'objet[n] Le décompte commence une fois l'objet utilisé.[n][n]
zts4314e	Carte de tarot (L'Étoile)
zts4315e	La force de son étoile étincelante te permet de te déplacer plus vite et de récolter plus de points d'expérience.[n]Durée d'utilisation : voir les infos sur l'objet[n]Le décompte commence une fois l'objet utilisé.[n][n]
zts4316e	Carte de tarot (La Lune)
zts4317e	L'influence de la lune fait augmenter tes MP et tes attributs[n]MP max.augmente de 2000 et tous les attributs de 50[n]Niveau requis : 60[n] Le décompte du temps commence dès l'utilisation.[n][n]
zts4318e	Carte de tarot (Le Soleil)
zts4319e	La chaleur du soleil te rend plus fort.[n] Toutes tes valeurs d'attaque augmentent de 100 et toutes les attaques de feu et ta précision augmente de 100[n] Niveau requis: 60[n] Durée d'utilisation: 1 heure[n] Le décompte du temps commence dès l'utilisation.[n][n]
zts4320e	Talisman de la Foudre
zts4321e	Un vieux talisman imprégné de la force de la foudre.[n]La précision augmente de 100[n] Niveau requis : 60[n]Durée d'utilisation : 3 heures[n]Le décompte commence une fois l'objet utilisé.[n][n]
zts4322e	Talisman de la Vague
zts4323e	Un talisman imprégné de la force des vagues.[n]Les points d'expérience augmentent de 15%[n]Niveau requis : 60[n]Durée d'utilisation : 3heures[n]Le décompte commence une fois l'objet utilisé.[n][n]
zts4324e	Talisman du Nuage
zts4325e	Un talisman imprégné de la force des nuages.[n]Augmentation des MP max. de 1000.[n]Niveau requis : 60[n]Durée : 3 heures[n]Le décompte commence une fois l'objet utilisé.[n][n]
zts4326e	Talisman du Vent
zts4327e	Un talisman imprégné de la force du vent.[n]La vitesse de déplacement augmente de 1[n]Niveau requis : 60[n]  Durée : 3heures[n]Le décompte commence une fois l'objet utilisé.[n][n]
zts4328e	Talisman du Feu
zts4329e	Un vieux talisman fort de la force du feu.[n] Toutes les valeurs d'attaque augmentent de 40[n]Niveau requis: 60[n]Durée: 3 heures[n]Le décompte du temps commence dès l'utilisation.[n][n]
zts4330e	Épée longue des Voleurs du Désert
zts4331e	Une épée longue que seuls les maîtres parmi les voleurs du désert utilisent.[n][n]
zts4332e	Arc des Voleurs du Désert
zts4333e	Un arc solide que seuls les maîtres tireurs parmi les voleurs du désert utilisent.[n][n]
zts4334e	Bâton des Voleurs du Désert
zts4335e	Un bâton mystérieux que seuls les maîtres mages des voleurs du désert utilisent.[n][n]
zts4336e	Armure en or de la bande des voleurs
zts4337e	Armure en or fabriquée à partir de l'or fondu par les voleurs du désert.[n][n]
zts4338e	Tunique en or de la bande des voleurs
zts4339e	Une armure fabriquée à partir des emblèmes en or des voleurs du désert.[n][n]
zts4340e	Robe en or de la bande des voleurs
zts4341e	Une robe fabriquée à partir des emblèmes en or des voleurs du désert.[n][n]
zts4342e	Arbalète des Voleurs du Désert
zts4343e	Arbalète qui était utilisée par les voleurs de l'Antiquité.[n][n]
zts4344e	Épée courte du Scorpion du Désert
zts4345e	Une épée courte, couverte de piquants, qui a été fabriquée par un commandant du désert très réputé à partir de queues de scorpions antiques.[n][n]
zts4346e	Baguette magique des mages du désert
zts4347e	Une arme magique qui donne toute leurs forces aux mages du désert.[n][n]
zts4348e	Chaussures en argent de la bande des voleurs
zts4349e	Ce sont des chaussures en argent qui ont été cachées comme trésor par les voleurs du désert.[n][n]
zts4350e	Chaussures brillantes de la bande des voleurs
zts4351e	Chaussures brillantes qui ont été cachées comme un trésor par les voleurs du désert.[n][n]
zts4352e	Gants en argent de la bande des voleurs
zts4353e	Gants d'argent qui ont été caché comme un trésor par les voleurs du désert.[n][n]
zts4354e	Gants brillants de la bande des voleurs
zts4355e	Les voleurs du désert ont camouflé ces gants brillants comme un véritable trésor.[n][n]
zts4356e	Chapeau du Voleur Fabuleux
zts4357e	D'après la légende, c'est le chapeau d'un voleur très célèbre.[n][n]
zts4358e	Masque du Voleur Fabuleux
zts4359e	D'après la légende, il a appartenu à un voleur très célèbre.[n][n]
zts4360e	Épée tranchante du grand chef
zts4361e	C'est l'épée qu'utilise le chef des voleurs du désert de l'Est.[n][n]
zts4362e	Baguette magique du grand chef
zts4363e	La matraque utilisée par le chef des voleurs du désert.[n][n]
zts4364e	Arc des grands chefs
zts4365e	L'arc utilisé par le chef des voleurs du désert de l'Est.[n][n]
zts4366e	Armure lourde du commandant
zts4367e	C'est l'armure lourde du commandant des voleurs du désert.[n][n]
zts4368e	Apparat du commandant
zts4369e	C'est un apparat du commandant des voleurs du désert.[n][n]
zts4370e	Armure en cuir du commandant
zts4371e	C'est l'armure en cuir du commandant des voleurs du désert.[n][n]
zts4372e	Arbalète du grand chef
zts4373e	Cette arbalète est conservée dans la salle au trésor d'Ibrahim.[n][n]
zts4374e	Arme magique du grand chef
zts4375e	Une baguette magique qu'Ibrahim a volé à un magicien au cours de l'un de ses voyages.[n][n]
zts4376e	Couteau du Grand Chef
zts4377e	Un couteau conservé par Ibrahim.[n][n]
zts4378e	Turban de commandant
zts4379e	Le turban porté par le commandant des voleurs du désert.[n][n]
zts4380e	Turban du Grand Chef
zts4381e	Le turban porté par le chef des voleurs du désert.[n][n]
zts4382e	Gants de l’oeil marin
zts4383e	Des gants recelant la force de protection des elfes marines.[n][n]
zts4384e	Gants noirs en cuir de pierre
zts4385e	Des gants sombres fabriqués à partir de lave solidifiée.[n][n]
zts4386e	Bottes de l’oeil marin
zts4387e	Bottes recelant la force de protection des elfes marines.[n][n]
zts4388e	Bottes en cuir de pierre
zts4389e	Des bottes sombres fabriquées à partir de lave solidifiée.[n][n]
zts4390e	Cadeau de Dame Calvina
zts4391e	Arc tsunamique de Calvina
zts4392e	Casque à piques de Calvina
zts4393e	Un casque réalisé par Calvina elle-même en utilisant ses piques et son énergie magique. [n][n]
zts4394e	Casque d'écailles de Calvina
zts4395e	Ce casque a été fabriqué à partir des écailles de Calvina.[n][n]
zts4396e	Bracelet de protection de la Couronne de glace
zts4397e	Le trésor de La Couronne de glace que Calvina conserve dans un endroit secret.[n][n]
zts4398e	Épée tranchante de Commandant
zts4399e	Une épée utilisée par les commandants des voleurs du désert de l'Est.[n][n]
zts4400e	Arc des commandants
zts4401e	Un arc utilisé par les commandants des voleurs du désert de l'Est.[n][n]
zts4402e	Matraque des commandants
zts4403e	La matraque utilisée par les commandants des voleurs du Désert du Sud.[n][n]
zts4404e	Arbalète des Mercenaires du Désert
zts4405e	L'arbalète utilisée par les mercenaires du désert.[n][n]
zts4406e	Épée courte du Maître Terroriste
zts4407e	Une épée courte tranchante, utilisée par les maîtres terroristes du désert.[n][n]
zts4408e	Baguette magique du sombre Mage
zts4409e	Une baguette magique à laquelle un antique mage a donner des pouvoirs magiques.[n][n]
zts4410e	Armure en or étincelante de la bande des voleurs
zts4411e	Une armure fabriquée grâce à la force de la lumière.[n][n]
zts4412e	Tunique en or étincelante de la bande des voleurs
zts4413e	Une armure en cuir qui a été fabriquée avec la force de la lumière.[n][n]
zts4414e	Robe en or étincelante de la bande des voleurs
zts4415e	Une robe fabriquée grâce à la force de la lumière.[n][n]
zts4416e	Masque du Marchand
zts4417e	Un masque porté par les marchands d'Akamur.[n][n]
zts4418e	Masque de la bande de Voleurs
zts4419e	Un masque porté par les voleurs du désert.[n][n]
zts4420e	Masque de la Guérison Immédiate
zts4421e	Un masque utilisé par les marchands d'Akamur pour une guérison immédiate.[n][n]
zts4422e	Masque de l'Enquêteur
zts4423e	Un masque porté par les enquêteurs des chasseurs de trésors.[n][n]
zts4424e	Masque de l'Élite
zts4425e	Un masque spécial donné par les voleurs du désert à leurs élites.[n][n]
zts4426e	Masque du Commandant
zts4427e	Un masque porté par les commandants des voleurs du désert.[n][n]
zts4428e	Casque protecteur du fantôme des sables
zts4429e	Cet objet contient de l'essence de fantômes des sables.[n][n]
zts4430e	Casque protecteur du fantôme des vents
zts4431e	Cet objet contient de l'essence de fantômes des vents.[n][n]
zts4432e	Casque de Protection des Voleurs du Désert
zts4433e	Un casque de protection porté par les simples soldats des voleurs du désert.[n][n]
zts4434e	Casque de Protection des Marchands
zts4435e	Un casque de protection porté par les soldats de la patrouille d'attaque des marchands d'Akamur.[n][n]
zts4436e	Ratufu boxeur
zts4437e	Épée tranchante de la bande des voleurs
zts4438e	Une simple épée que portent les voleurs du désert.[n][n]
zts4439e	Arc de la bande des voleurs
zts4440e	Arc simple, utilisé par les voleurs du désert.[n][n]
zts4441e	Canne de la bande des voleurs
zts4442e	Un simple bâton utilisé par la bande de voleurs.[n][n]
zts4443e	Arbalète de l'Escorte des Marchands
zts4444e	Arbalète utilisée par l'escorte des marchands d'Akamur.[n][n]
zts4445e	Dague de Terroriste des Marchands
zts4446e	Une dague utilisée par les assassins des marchands d'Akamur.[n][n]
zts4447e	Baguette magique des marchands
zts4448e	Une baguette magique utilisée par les magiciens des marchands d'Akamur.[n][n]
zts4449e	Bandeau du Voleur novice
zts4450e	Un bandeau porté par les bleus de la bande des voleurs.[n][n]
zts4451e	Gants du maître voleur
zts4452e	On raconte que le maître des voleurs a porté ces gants.[n][n]
zts4453e	Chaussures de Maître Voleur
zts4454e	On raconte que le Maître voleur a porté ces chaussures.[n][n]
zts4455e	Son utilisation peut déclencher un des effets suivants: [n]augmentation des HP, augmentation des MP, augmentation des SP, rien.[n]Il peut également être échangé chez Velochika contre un sceau de Grasslin.[n]Cet objet disparaîtra une fois l'évènement terminé.[n][n]
zts4456e	Son utilisation provoquera l'un des effets suivants:[n]augmentation des HP, augmentation des MP, augmentation des SP, rien.[n] Tu peux également l'échanger chez Velochika contre un sceau de Grasslin.[n]Cet objet disparaîtra une fois l'évènement terminé.[n][n]
zts4457e	Ton pouvoir d'attaque sera de 30% plus élevé pendant 10 minutes.[n]Cet objet disparaîtra une fois l'évènement terminé.[n][n]
zts4458e	Paquet Boxeur Ratufu
zts4459e	Objet limité aux vacances d'été.[n]Reçois un Boxeur Ratufu et beaucoup d'autres objets.[n][n]
zts4460e	Un objet proposé aux joueurs fraîchement recrutés.[n]Si tu es en ligne en même temps que l'ami qui t'a recruté, vous pouvez profiter ensemble de l'augmentation de vos points d'EXP.[n]Cet objet disparaîtra à la fin de l'évènement.[n][n]
zts4461e	Coffre au trésor premium
zts4462e	Un coffre premium contenant un scooteur magique supersonique ![n]Tu peux obtenir les objets suivants:[n]Scooteur magique[n]5x Bénédiction d'Ancelloan[n]Utilises l'objet et tu te transformeras en conducteur de scooteur magique ![n] Savoure l'ivresse de la vitesse ![n]Avantage d'achat:[n]sur les coffres premium[n][n]
zts4463e	Transforme les ailes de ton spécialiste en ailes d'ange.[n][Mode d'emploi][n]1. Change-toi en spécialiste.[n]2. Utilise cet objet pour transformer tes ailes.[n]Mode d'emploi :[n]1. Pour modifier des ailes de spécialiste, tu dois posséder une carte de spécialiste améliorée +1 ou supérieure.[n]2. L'effet disparaît si tu places ta carte dans une boîte de spécialiste.[n]
zts4464e	Transforme les ailes de ton spécialiste en ailes de démon.[n][Mode d'emploi][n]1. Change-toi en spécialiste.[n]2. Utilise cet objet pour transformer tes ailes.[n][Attention][n]1. Pour modifier des ailes de spécialiste, tu dois posséder une carte de spécialiste améliorée +1 ou supérieure.[n]2. L'effet disparaît si tu places ta carte dans une boîte de spécialiste.[n]
zts4465e	Rapport de patrouille crucial (Hamid)
zts4466e	Rapport de patrouille bien rédigé (gardien du phare, Chilton)
zts4467e	Cet objet de quête est à utiliser avec les figues de cactus du Camp de Neil.[n]
zts4468e	Clé des voleurs du désert
zts4469e	Marchandise endommagée
zts4470e	Marchandise (première trouvaille)
zts4471e	Marchandise (deuxième trouvaille)
zts4472e	Marchandise (troisième trouvaille)
zts4473e	Marchandise (quatrième trouvaille)
zts4474e	Marchandise (cinquième trouvaille)
zts4475e	Marchandise (sixième trouvaille)
zts4476e	L'encens du prêtre
zts4477e	Objet de quête.[n]À utiliser sur le prêtre décédé dans la Bibliothèque.[n]
zts4478e	Bâtons d'encens du moine
zts4479e	Objet de quête.[n]À utiliser sur le moine décédé dans la Grotte souterraine.[n]
zts4480e	Encens du clerc
zts4481e	Objet de quête.[n]À utiliser sur le clerc décédé dans le hall des prières.[n]
zts4482e	Encens du chasseur du trésors
zts4483e	Objet de quête[n] À tester sur le chasseur de trésors mort[n]
zts4484e	Essence de sable
zts4485e	Essence de vent
zts4486e	Fragment de la lettre au chef des voleurs du désert
zts4487e	Objet de quête.[n]À utiliser sur le voleur endormi de la troupe d'éclaireurs dans le Camp des voleurs du désert.[n]
zts4488e	Objet de quête.[n]À utiliser sur l'unité de transport endormie dans le Camp des voleurs du désert.[n]
zts4489e	Objet de quête.[n]À utiliser sur la patrouille endormie dans le Camp des voleurs du désert.[n]
zts4490e	Essence de fées de terre
zts4491e	Objet de quête.[n]À utiliser sur l'unité d'élite endormie dans le Camp des voleurs du désert.[n]
zts4492e	Marchandises volées (Camp de Kerus)
zts4493e	Marchandises volées (Camp de Garton)
zts4494e	Marchandises volées (Camp des voleurs du désert)
zts4495e	Marchandises volées (Patio des voleurs)
zts4496e	L'emblème en or est reconnaissable.[n]L'orfèvre (or) de la cité des aigles te l'échangera, entre autres contre des armes.[n][n]
zts4497e	L'emblème en argent est reconnaissable.[n]Le marchand d'argent de la Cité des aigles du désert te l'échangera contre d'autres objets.[n][n]
zts4498e	L'emblème en cuivre est reconnaissable.[n]L'orfèvre (cuivre) de la Cité des aigles du désert te l'échangera notamment contre d'autres objets.[n][n]
zts4499e	Une clé dans laquelle est gravé l'emblème de la bande de voleurs.[n]Tu en as besoin pour ouvrir leur coffre[n]Tu as besoin d'une clé pour chaque tentative d'ouverture, qu'elle échoue ou non.[n][n]
zts4500e	La clé en or d'Ibrahim
zts4501e	Une clé en or dans laquelle est gravé l'emblème d'Ibrahim.[n]Tu en as besoin pour ouvrir le coffre aux trésors d'Ibrahim.[n]Tu auras besoin d'une clé pour chaque tentative d'ouverture, qu'elle échoue ou non.[n][n]
zts4502e	Le sac d'Ibrahim
zts4503e	Le sac du chef de la bande des voleurs[n]Tu y trouveras l'un des objets suivants : [n]Pièce d'or des voleurs[n]Pierre précieuse brillante bleu ciel[n]Clé d'or d'Ibrahim.[n][n]
zts4504e	Une relique inconnue[n]Fais-la examiner par un archéologue pour en savoir davantage.[n]Objets que tu peux obtenir :[n]Tant qu'elle n'a pas été examinée, tu ne sauras pas ce qu'elle contient.[n]Cet objet ne peut être utilisé que par des joueurs de niveau 60 ou plus.[n][n]
zts4505e	Une relique mystérieuse mais fascinante.[n]Fais-la examiner par un archéologue pour en apprendre davantage.[n]Objets que tu peux obtenir :[n]Tant qu'elle n'a pas été examinée, tu ne sauras pas ce qu'elle contient.[n]Cet objet ne peut être utilisé que par des joueurs de niveau 60 ou plus.[n][n]
zts4506e	Jus de pommes frais
zts4507e	Cet objet rétablit 2 500 HP et 2 500 MP.[n]Même ton NosMate en profite.[n][n]
zts4508e	Vin de fraises corsé
zts4509e	HP : 10 000, MP  : 10 000[n]Restauration pour le joueur et le NosMate.[n][n]
zts4510e	Croquis de la construction d'armes du commandant des voleurs du désert[n]Il explique comment construire, avec les bons matériaux, de nouvelles armes ou armures.[n][Mode d'emploi][n]1. Les matériaux nécessaires doivent se trouver dans l'inventaire.[n]2. Double-clique sur l'objet pour ouvrir la fenêtre de production.[n]3. Sélectionne l'objet que tu souhaites fabriquer.[n]4. Glisse les matériaux dans la fenêtre.[n]5. Clique sur « Fabriquer ».[n][Attention][n]Le niveau de rareté, le niveau d'affinement et les options de l'objet utilisé comme matériel seront transférés sur l'objet fabriqué.[n][n]
zts4511e	Un croquis sur la fabrication des masques des voleurs du désert. [n]Il y est dessiné comment construire, avec les bons matériaux, de nouvelles armes ou armures. [N]Instructions :[n]1.Tous les matériaux doivent se trouver dans l'inventaire [n]2. Double-cliquer sur le croquis et une nouvelle fenêtre s'ouvrira pour la construction [n]3. Cliquer sur l'élément qui doit être produit [n]4. Cliquer sur le bouton pour commencer la production.
zts4512e	Restaure 3000 HP.[n]Pour le joueur comme pour ses NosMates.[n][n]
zts4513e	Restaure 3000 MP.[n] Du joueur et de ses NosMates.[n][n]
zts4514e	Restaure 20000 MP.[n]Du joueur et de ses NosMates.[n][n]
zts4515e	Restaure 20 000 HP.[n] Du joueur et de ses NosMates.[n][n]
zts4516e	Démarre le raid des voleurs du désert[n]sur le Chemin secret du Temple d'Aster. [n]Niveau recommandé : 80 à 99 [n][Mode d'emploi][n]Le joueur devient le chef d'une équipe. Une fois chef d'équipe, clique sur d'autres joueurs [n]et utilise le bouton «Invitation». Lorsque les préparatifs sont terminés, rends-toi à l'entrée du raid. [n]Quand le chef d'équipe entre dans le raid, [n]les autres membres le suivent automatiquement. [n] [Avertissement:] Les joueurs possédant un niveau supérieur à 99 peuvent également participer mais ils seront désavantagés[n](pas d'augmentation des HP, pas de coffre aux trésors, même en cas de réussite).[n][n]
zts4517e	Contient un Jeu de tarot et un objet de chance.[n][n]
zts4518e	Morceau de métal chaud
zts4519e	Un morceau de métal dont tu peux sentir la chaleur.[n]Il est utilisé en production. [n][n]
zts4520e	Morceau de relique brisé
zts4521e	Une marchandise qui peut être vendue.[n]Une relique qui s'est brisée au cours des recherches.[n]La relique n'ayant pas l'air bien précieuse, tu ne pourras pas en tirer un bon prix.[n][n]
zts4522e	Pierre précieuse brillante violette
zts4523e	Une marchandise à vendre.[n][n]
zts4524e	Pierre précieuse brillante bleu ciel
zts4525e	HP : 2000, MP : 2000[n]Tes HP et MP se régénéreront lentement.[n] Ton NosMate en profitera également.[n][n]
zts4526e	Poulet brûlant
zts4527e	HP : 10 000, MP : 10 000[n]Tes HP et MP se régénéreront lentement.[n]Ton NosMate en profitera également.[n]Ne peut pas être utilisé durant le repos.[n][n]
zts4528e	Cuir chaud
zts4529e	Tu peux sentir la chaleur du cuir.[n] Il est utilisé dans la production. [n][n]
zts4530e	Tissu chaud
zts4531e	Tu peux sentir la chaleur du tissu.[n] Il est utilisé dans la production. [n][n]
zts4532e	Bois chaud
zts4533e	Tu peux sentir la chaleur du bois.[n] Il est utilisé dans la production. [n][n]
zts4534e	Fil d'argent chaud
zts4535e	Il est utilisé dans la production. [n][n]
zts4536e	Fil d'or chaud
zts4537e	Cristal magique divin
zts4538e	Cristal magique sombre
zts4539e	Cristal divin
zts4540e	Cristal sombre
zts4541e	Sable de métal bleu
zts4542e	Morceau de bois bleu
zts4543e	Morceau de métal bleu
zts4544e	Morceau de bois violet
zts4545e	Morceau de métal violet
zts4546e	Morceau de cristal violet
zts4547e	Pierre de Citrouille violette
zts4548e	Pierre de Citrouille orange
zts4549e	Pierre de Citrouille bleu clair
zts4550e	Morceau du masque d'Akamur
zts4551e	Morceau de Masque des Voleurs du Désert
zts4552e	Plaque d'Akamur
zts4553e	Pain de Seigle sec
zts4554e	HP : 3500 - MP : 3500[n]Tes HP et MP régénéreront lentement.[n]Ton NosMate en profitera également.[n][n]
zts4555e	Eau de Source d'Oasis
zts4556e	HP : 1 500 - MP : 3 500 [n]Tes HP et MP seront lentement restaurés. [N] Ton NosMate en profitera également. [n][n]
zts4557e	Brochette d'Agneau chaude
zts4558e	HP : 4 000, MP : 4 000[n]Tes HP et MP seront lentement restaurés.[n]Ton NosMate en profitera également.[n][n]
zts4559e	Eau souterraine rafraîchissante
zts4560e	HP : 3 000, MP : 4 000[n]Tes HP et MP seront lentement restaurés.[n]Ton NosMate en profitera également.[n][n]
zts4561e	Chocolat chaud
zts4562e	HP : 15 000 - MP :7 500[n]Tes HP et MP seront lentement restaurés.[n]Ton NosMate en profitera également.[n]Ne peut pas être utilisé lors du repos.[n][n]
zts4563e	Chocolat froid
zts4564e	HP : 7 500, MP :15 000[n]Tes HP et MP seront lentement restaurés.[n]Ton NosMate en profitera également.[n]Ne peut pas être utilisé lors du repos.[n][n]
zts4565e	Viande d'agneau
zts4566e	Ingrédients pour Brochette d'Agneau chaude[n][n]
zts4567e	Eau souterraine
zts4568e	Ingrédients pour Eau souterraine rafraîchissante[n][n]
zts4569e	Énorme Coffre de fraises
zts4570e	Ingrédients pour Jus de fraises et Vin de fraises corsé[n][n]
zts4571e	Coffre de raisins mûrs
zts4572e	Ingrédients pour Jus de raisin et Vin corsé[n][n]
zts4573e	Coffre de Pommes rouges
zts4574e	Ingrédients pour Jus de pommes et Cidre corsé[n][n]
zts4575e	Amulette du retour au bercail (désert)
zts4576e	Cette amulette te ramène au village.[n]Ta position actuelle sera enregistrée et tu pourras y retourner grâce à l'amulette du retour.[n][n]Restriction :[n]Tu ne peux l'utiliser que dans la région désertique.[n]Tu retourneras alors dans le village que tu as établi comme lieu de renaissance.[n][n]
zts4577e	Grâce à cela, tu pourras rejoindre l’île de la mort.
zts4579e	Un paquet de cinq cartes de tarot : utilise-le pour recevoir cinq cartes de tarot scellées parmi:[n]Le Fou, Le Bateleur, L'Amoureux, L'ermite, La Mort, Le Diable, La Maison Dieu, L'Étoile, la Lune ou le Soleil. [n] En utilisant une carte scellée, tu recevras une carte comme objet d'équipement. Une fois la carte posée, le temps d'utilisation commence.[n][n]
zts4580e	Un paquet de cinq cartes de tarot : utilise-le pour recevoir cinq cartes de tarot scellées parmi:[n]Le Fou, Le Bateleur, L'Amoureux, L'ermite, La Mort, Le Diable, La Maison Dieu, L'Étoile, La Lune ou Le Soleil. [n] En utilisant une carte scellée, tu recevras une carte comme objet d'équipement. Une fois la carte posée, le temps d'utilisation commence.[n][n]
zts4581e	Dans cette boîte, tu trouveras l'un des objets du NosMall suivants :[n]1x masque furieux A[n]1x masque furieux B[n]1x masque furieux C[n]1x perle de Ratufu brun[n]1x perle de Ratufu gladiateur[n]1x perle de Ratufu destructeur de vermine[n]1x croquettes spéciales[n]5x parchemin protecteur d'équipement[n]99x eau de source de Cylloan[n]5x parchemin de libération[n]1x grande potion spéciale[n]
zts4582e	Dans cette boîte, tu trouveras l'un des objets du NosMall suivants :[n]1x masque silencieux A[n]1x masque silencieux B[n]1x masque silencieux C[n]1x perle de Ratufu taureau[n]1x perle de Ratufu aquatique[n]1x perle de Ratufu samouraï[n]1x croquettes spéciales[n]5x parchemin protecteur d'équipement[n]99x eau de source de Cylloan[n]5x parchemin de libération[n]1x grande potion spéciale[n]
zts4583e	Dans cette boîte, tu trouveras l'un des objets du NosMall suivants :[n]1x bandage oculaire de l'abîme A[n]1x bandage oculaire de l'abîme B[n]1x bandage oculaire de l'abîme C[n]1x perle de Pégase[n]1x perle de lapin mignon[n]1x perle de Ratufu malade[n]1x croquettes spéciales[n]5x parchemin protecteur d'équipement[n]99x eau de source de Cylloan[n]5x parchemin de libération[n]1x grande potion spéciale[n]
zts4584e	En l'utilisant, tu seras pris d'une peur bleue qui augmentera ta précision et ton pouvoir d'attaque.[n]Durée: voir les infos sur l'objet.[n]Le temps d'utilisation commence dès l'utilisation.[n][n]
zts4585e	Lorsque vous ouvrez cette boite, vous trouverez un des objets NosMall suivants : [n] [Les objets que vous pourriez trouver] [n] Masque Silencieux A [n] Masque Silencieux B [n] Masque Silencieux C [n] Perle de Ratoufu Taureau[n] Perle de Ratoufu Aigue-marine [n] Perle de Ratoufu Samurai [n] Nourriture spéciale pour animaux de compagnie[n] Rouleau de protection de l'équipement [n] Eau de source Cylloan [n] Rouleau d'amélioration [n] Grand rechargeur spécial [n]
zts4590e	Régénère 2 000 HP et 2 000 MP.[n]Ton NosMate en profitera aussi.[n][n]
zts4591e	Régénère 2 500 HP.[n] Ton NosMate en profitera aussi.[n][n]
zts4592e	Régénère 2 000 HP.[n]Du joueur et de ses NosMates.[n][n]
zts4593e	Régénère 2 000 MP.[n]Du joueur et de ses NosMates.[n][n]
zts4594e	2 500 MP régénérés[n]La régénération vaut pour le joueur et ses NosMates.[n][n]
zts4595e	Démarre le raid des voleurs du désert[n]sur le Chemin secret du Temple d'Aster. [n]Niveau recommandé : 80-99[n][Mode d'emploi][n]Le joueur devient le chef d'une équipe. Une fois chef d'équipe, clique sur d'autres joueurs [n]et utilise le bouton «Invitation». Lorsque les préparatifs sont terminés, rends-toi à l'entrée du raid. [n]Quand le chef d'équipe entre dans le raid, [n]les autres membres le suivent automatiquement. [n] [Avertissement:] Les joueurs possédant un niveau supérieur à 99 peuvent également participer mais ils seront pénalisés[n](pas d'augmentation des HP, pas de coffre aux trésors, même en cas de réussite).[n][n]
zts4596e	HP : 700 - MP : 700 [n]Tes HP et MP seront lentement régénérés.[n]Ton NosMate en profitera également.[n][n]
zts4597e	HP : 2 500 [n]Tes HP seront lentement régénérés.[n]Ton NosMate en profitera également.[n]Ne peut être utilisé qu'au cours du repos.[n][n]
zts4598e	HP : 700 MP : 300 [n]Tes HP et MP seront lentement régénérés.[n]Ton NosMate en profitera également.[n][n]
zts4599e	HP : 300 MP : 700 [n]Tes HP et MP seront lentement régénérés.[n]Ton NosMate en profitera également.[n][n]
zts4600e	HP : 1 000 MP : 500 [n]Tes HP et MP seront lentement régénérés.[n]Ton NosMate en profitera aussi.[n][n]
zts4601e	HP : 500 MP : 1 000 [n]Tes HP et MP seront lentement régénérés.[n]Ton NosMate en profitera également.[n][n]
zts4602e	HP : 2 500 [n]Tes HP seront lentement régénérés.[n]Ton NosMate en profitera lui aussi.[n]Ne peut être utilisé qu'au cours du repos.[n][n]
zts4603e	HP : 2 500 MP : 2 500 [n]Tes HP et MP seront lentement régénérés.[n]Ton NosMate en profitera lui aussi.[n]Peut être utilisé lors du repos.[n][n]
zts4604e	Coffre de Ratufu boxeur
